availability,n,traps,positives,percent_of_rows,positive_percent
both_available,3853,301,846,75.1218561123026,21.956916688294836
both_missing,495,339,74,9.651004094365373,14.94949494949495
p1_only_missing,185,108,10,3.606940924156756,5.405405405405405
p2_only_missing,596,346,99,11.620198869175278,16.610738255033556
