config_id,dropout,epochs,fold,hidden_dim,input_family,input_variables,kind,lag_order,loss,n_train,num_layers,parameters,seconds,seed,test_FNR,test_FPR,test_TNR,test_TPR,test_absence_baseline,test_accuracy,test_binary_accuracy,test_intercept,test_log_intercept,test_log_mse,test_log_r2,test_log_slope,test_loss,test_n,test_nonzero_count,test_nonzero_intercept,test_nonzero_r2,test_nonzero_slope,test_pearson_r2,test_positive_fraction,test_r2,test_rmse,test_sensitivity,test_slope,test_specificity,train_FNR,train_FPR,train_TNR,train_TPR,train_absence_baseline,train_accuracy,train_binary_accuracy,train_intercept,train_log_intercept,train_log_mse,train_log_r2,train_log_slope,train_loss,train_n,train_nonzero_count,train_nonzero_intercept,train_nonzero_r2,train_nonzero_slope,train_pearson_r2,train_positive_fraction,train_r2,train_rmse,train_sensitivity,train_slope,train_specificity,weekly,window
022030688253,0.4,3000,1,32,lag-only,p1zn; p2zn,grid,2,WMSE,4103,2,257,398.27909781499693,1,0.0,1.0,0.0,1.0,0.7982456140350878,0.20175438596491227,0.20175438596491227,6.0110783730186395,1.5474306760940972,2.4402121784415898,-0.33843366242083617,0.42905688391499164,1071.7491455078125,1026,207,13.498557901008976,0.27310712294926376,0.3430844347471644,0.4373415748489841,0.20175438596491227,0.43330165189147196,26.649887440884527,1.0,0.395709470059945,0.0,0.0,1.0,0.0,1.0,0.7996587862539605,0.20034121374603947,0.20034121374603947,6.029965680048894,1.5338140803344813,2.4208409700408655,-0.3485129681612298,0.41601927058366844,1476.17626953125,4103,822,13.693805626294697,0.2915146682317471,0.32843811671791723,0.4322652939631748,0.20034121374603947,0.423423986367472,30.842618137999413,1.0,0.37044573478974424,0.0,False,
022030688253,0.4,3000,2,32,lag-only,p1zn; p2zn,grid,2,WMSE,4103,2,257,416.31181903000106,1,0.0,1.0,0.0,1.0,0.7992202729044834,0.20077972709551656,0.20077972709551656,7.615198612303527,1.7808734564287338,2.9863413294006778,-0.6673996985621011,0.40331416399191244,1412.435546875,1026,206,17.130879768892374,0.3095179260643761,0.35507861845617616,0.43589861061830976,0.20077972709551656,0.4317160121922403,30.345530356593212,1.0,0.4080693477022333,0.0,0.0,1.0,0.0,1.0,0.7994150621496466,0.2005849378503534,0.2005849378503534,7.592768724495148,1.7992606126631647,3.054397696873619,-0.6938377232504367,0.3920571831608269,1350.2808837890625,4103,823,16.118853623638326,0.30845601160614655,0.3661088621012157,0.4310670824879206,0.2005849378503534,0.4278542228331106,29.85682561249726,1.0,0.41533455486643156,0.0,False,
022030688253,0.4,3000,3,32,lag-only,p1zn; p2zn,grid,2,WMSE,4104,2,257,399.0215776520017,1,0.0,1.0,0.0,1.0,0.8009756097560976,0.19902439024390245,0.19902439024390245,8.282065694238852,1.8783938496283914,3.252736050528003,-0.8622721274202279,0.359171276503656,1201.7501220703125,1025,204,19.858184176751255,0.11096850311761453,0.2486781238629885,0.30245880152490695,0.19902439024390245,0.2939597809376735,28.196835368466825,1.0,0.3317891381390853,0.0,0.0,1.0,0.0,1.0,0.7989766081871345,0.2010233918128655,0.2010233918128655,7.769090078931376,1.8614075460293238,3.1833327239575753,-0.7545978260629909,0.38478506999344914,1402.5576171875,4104,825,16.106953760913274,0.339788264736836,0.38386402972879025,0.4560426782251024,0.2010233918128655,0.45160598223436044,30.364406867543874,1.0,0.42961324238113435,0.0,False,
022030688253,0.4,3000,4,32,lag-only,p1zn; p2zn,grid,2,WMSE,4103,2,257,409.3152326090021,1,0.0,1.0,0.0,1.0,0.8001949317738791,0.19980506822612085,0.19980506822612085,7.616550427795056,1.880153176005949,3.2966145517697685,-0.8170566513169846,0.3435385886363697,1721.8121337890625,1026,205,13.1131464092995,0.3599123739205593,0.3559125553829205,0.47446547673958717,0.19980506822612085,0.455376652193599,33.52863269793524,1.0,0.3815684042239123,0.0,0.0,1.0,0.0,1.0,0.7991713380453327,0.2008286619546673,0.2008286619546673,7.728793368677563,1.8544258848281556,3.1753846584779333,-0.766625577234447,0.36669087356520963,1311.9256591796875,4103,824,16.291475720249068,0.2653954478798515,0.2984788925977561,0.4185002536333953,0.2008286619546673,0.4056716556770934,29.325456313038472,1.0,0.35076950029247506,0.0,False,
022030688253,0.4,3000,5,32,lag-only,p1zn; p2zn,grid,2,WMSE,4103,2,257,487.0272874959992,1,0.0,1.0,0.0,1.0,0.7982456140350878,0.20175438596491227,0.20175438596491227,6.889229485191546,1.6776212375483257,2.705873071661833,-0.47975603283391743,0.40919988504459526,1608.0390625,1026,207,16.167631907101093,0.28835944779037204,0.3222800804147816,0.4300136393363533,0.20175438596491227,0.421688178714241,32.147068414038266,1.0,0.37105317688218276,0.0,0.0,1.0,0.0,1.0,0.7996587862539605,0.20034121374603947,0.20034121374603947,6.888757140664974,1.7151737399109672,2.840758435015081,-0.5836359646786726,0.38701236142496115,1331.8858642578125,4103,822,14.240035368687394,0.29616573598125684,0.33263698580381607,0.43308728816911457,0.20034121374603947,0.4248398887809244,29.532038921167906,1.0,0.3757946125419564,0.0,False,
05d34174eff6,0.2,3000,1,32,t2m_mean+tp_sum,t2m_mean_znorm; tp_sum_znorm; p1zn; p2zn,grid,2,WMSE,4103,2,6017,429.7877614709978,1,0.34782608695652173,0.04151404151404151,0.9584859584859585,0.6521739130434783,0.7982456140350878,0.8966861598440545,0.8966861598440545,1.7427620608680456,0.11462527756140001,0.925212761034844,0.49252941395399175,0.7028526991582602,897.7733154296875,1026,207,6.119214557216647,0.3956646769193588,0.6271635247777018,0.5417549299607475,0.20175438596491227,0.5150870353521255,24.65195143624706,0.6521739130434783,0.6579230034920122,0.9584859584859585,0.3333333333333333,0.03413593416641268,0.9658640658335873,0.6666666666666666,0.7996587862539605,0.9059224957348282,0.9059224957348282,1.1103831173204881,0.05499714915883919,0.5805015795659456,0.6766355503023641,0.8113159864163348,500.3612060546875,4103,822,4.071588896958751,0.7602627634855115,0.7198878004373396,0.8121042532350055,0.20034121374603947,0.8037935673075882,17.99200537646681,0.6666666666666666,0.7361189851039931,0.9658640658335873,False,90.0
05d34174eff6,0.2,3000,2,32,t2m_mean+tp_sum,t2m_mean_znorm; tp_sum_znorm; p1zn; p2zn,grid,2,WMSE,4103,2,6017,417.4719981220005,1,0.33495145631067963,0.041463414634146344,0.9585365853658536,0.6650485436893204,0.7992202729044834,0.8996101364522417,0.8996101364522417,2.906788689357599,0.11457698143374978,0.8405578539693014,0.5306812725879217,0.7682289244657061,1234.29443359375,1026,206,13.205614364699375,0.3944060952896138,0.5437667656990013,0.521331170936982,0.20077972709551656,0.5086264733127419,28.217458813476938,0.6650485436893204,0.601118654011956,0.9585365853658536,0.2891859052247874,0.0399390243902439,0.9600609756097561,0.7108140947752126,0.7994150621496466,0.9100658055081647,0.9100658055081647,1.3563594009508533,0.08215259099213412,0.5780368934035462,0.6794455756434097,0.8418497120774616,446.7632141113281,4103,823,4.373711704896074,0.7735057536013652,0.75719328669397,0.8073557555463994,0.2005849378503534,0.8056284050850946,17.402301241161304,0.7108140947752126,0.7746140911118768,0.9600609756097561,False,90.0
05d34174eff6,0.2,3000,3,32,t2m_mean+tp_sum,t2m_mean_znorm; tp_sum_znorm; p1zn; p2zn,grid,2,WMSE,4104,2,6017,422.1735255349995,1,0.3431372549019608,0.0389768574908648,0.9610231425091352,0.6568627450980392,0.8009756097560976,0.9004878048780488,0.9004878048780488,2.7640435177200118,0.10628575110466332,0.8348436768253102,0.5220312727642236,0.7268726150898828,1082.270751953125,1025,204,14.200435023287174,0.19338579339265838,0.43703992141218456,0.4088580349761683,0.19902439024390245,0.37741631210977056,26.47795970858632,0.6568627450980392,0.5191477625786428,0.9610231425091352,0.3018181818181818,0.03476669716376944,0.9652333028362305,0.6981818181818182,0.7989766081871345,0.9115497076023392,0.9115497076023392,1.1944142109146183,0.05923438358077315,0.5286076834010675,0.7086406063822854,0.844675146741891,450.59722900390625,4104,825,3.9293473678601814,0.7897428042674609,0.7745951305479549,0.8213948208299369,0.2010233918128655,0.819728218734089,17.409340633694512,0.6981818181818182,0.7896014970897152,0.9652333028362305,False,90.0
05d34174eff6,0.2,3000,4,32,t2m_mean+tp_sum,t2m_mean_znorm; tp_sum_znorm; p1zn; p2zn,grid,2,WMSE,4103,2,6017,417.29944023100325,1,0.28292682926829266,0.04141291108404385,0.9585870889159561,0.7170731707317073,0.8001949317738791,0.9103313840155945,0.9103313840155945,2.779159477667573,0.12850507210877182,0.7897413792076996,0.5647034849314654,0.7830191707943399,1260.114501953125,1026,205,12.469168217152372,0.5292264020135926,0.5305754157587479,0.610107902127295,0.19980506822612085,0.6070742671724325,28.47888300053235,0.7170731707317073,0.5758043902594474,0.9585870889159561,0.2936893203883495,0.03720646538578835,0.9627935346142117,0.7063106796116505,0.7991713380453327,0.9112844260297344,0.9112844260297344,1.4151169225221585,0.07035727042464246,0.5383224311308095,0.700504260768656,0.8421507841379158,432.58599853515625,4103,824,5.180002628640359,0.7606625774421456,0.7072717117846856,0.8055441927163858,0.2008286619546673,0.7976526302325586,17.111194936247294,0.7063106796116505,0.7302631242172546,0.9627935346142117,False,90.0
05d34174eff6,0.2,3000,5,32,t2m_mean+tp_sum,t2m_mean_znorm; tp_sum_znorm; p1zn; p2zn,grid,2,WMSE,4103,2,6017,418.94417650800096,1,0.3719806763285024,0.028083028083028084,0.9719169719169719,0.6280193236714976,0.7982456140350878,0.9025341130604289,0.9025341130604289,2.0767315224794842,0.0660480589336706,0.801160700457213,0.561870661197382,0.7382959345356321,1083.443115234375,1026,207,10.158779158372962,0.5200376147701177,0.559401940374258,0.6153624262624856,0.20175438596491227,0.613113641954703,26.293720841824126,0.6280193236714976,0.6018862465160943,0.9719169719169719,0.340632603406326,0.027430661383724474,0.9725693386162755,0.6593673965936739,0.7996587862539605,0.9098220814038508,0.9098220814038508,1.1205491601594622,0.0387712144542916,0.549134269368774,0.6938744358932725,0.8167904554830143,464.13934326171875,4103,822,3.837462465299666,0.757333933509166,0.7156131551910783,0.8008253691223197,0.20034121374603947,0.7935257056730016,17.694245468600883,0.6593673965936739,0.731563514661375,0.9725693386162755,False,90.0
